Period,Date,Bond.ClassA.Balance,Bond.ClassB.Balance,Fund.IAF.Balance,Fund.PAF.Balance,Fund.RESERVE.Balance,Ledger.CumulativeLoss,Ledger.CumulativePrepayment,Var.RealizedLoss,Var.ServicingFeeRate,Var.SeniorFeeAmount,Var.ClassA_IntDue,Var.ClassB_IntDue,Var.DelinqTrigger,Bond.ClassA.Prin_Paid,Bond.ClassB.Prin_Paid
29,2026-06-18,6414015.26859394,1000000.0,119723.80152231736,0.0,20000.0,0.0,0.0,2481.2905851471196,0.00020833333333333335,1352.3282515244368,27046.565030488735,6666.666666666667,False,77160.33872335684,-0.0
30,2026-07-18,6337630.836774015,1000000.0,122982.3235821614,0.0,20000.0,0.0,0.0,2454.620917586898,0.00020833333333333335,1336.253180957071,26725.063619141416,6666.666666666667,False,76384.43181992508,-0.0
31,2026-08-17,6262014.712684364,1000000.0,126164.91884423424,0.0,20000.0,0.0,0.0,2428.220009600354,0.00020833333333333335,1320.339757661253,26406.795153225063,6666.666666666667,False,75616.12408965081,-0.0
32,2026-09-16,6187159.370684492,1000000.0,129272.3595695177,0.0,20000.0,0.0,0.0,2402.08522644543,0.00020833333333333335,1304.5863984759092,26091.727969518182,6666.666666666667,False,74855.34199987166,-0.0
33,2026-10-16,6113057.357959064,1000000.0,132305.4104170024,0.0,20000.0,0.0,0.0,2376.213958886319,0.00020833333333333335,1288.9915355592693,25779.830711185386,6666.666666666667,False,74102.01272542868,-0.0
34,2026-11-15,6039701.293817195,1000000.0,135264.82851742144,0.0,20000.0,0.0,0.0,2350.6036229479982,0.00020833333333333335,1273.5536162414717,25471.07232482943,6666.666666666667,False,73356.06414186861,-0.0
35,2026-12-15,5967083.86899847,1000000.0,138151.36354627422,0.0,20000.0,0.0,0.0,2325.2516596731307,0.00020833333333333335,1258.2711028785825,25165.422057571646,6666.666666666667,False,72617.42481872533,-0.0
36,2027-01-14,5895197.844985611,1000000.0,140965.75779614638,0.0,20000.0,0.0,0.0,2300.155534881285,0.00020833333333333335,1243.1424727080146,24862.849454160292,6666.666666666667,False,71886.02401285898,-0.0
37,2027-02-13,5824036.053323751,1000000.0,143708.7462483334,0.0,20000.0,0.0,0.0,2275.312738930476,0.00020833333333333335,1228.1662177053356,24563.324354106713,6666.666666666667,False,71161.79166185949,-0.0
38,2027-03-15,5753591.394946233,1000000.0,146381.0566437742,0.0,20000.0,0.0,0.0,2250.7207864809893,0.00020833333333333335,1213.3408444424483,24266.816888848964,6666.666666666667,False,70444.65837751795,-0.0
39,2027-04-14,5683856.839506882,1000000.0,148983.40955330135,0.0,20000.0,0.0,0.0,2226.3772162614746,0.00020833333333333335,1198.664873947132,23973.297478942637,6666.666666666667,False,69734.55543935113,-0.0
40,2027-05-14,5614825.424718683,1000000.0,151516.5184472144,0.0,20000.0,0.0,0.0,2202.2795908372823,0.00020833333333333335,1184.1368415639338,23682.736831278675,6666.666666666667,False,69031.41478819959,-0.0
41,2027-06-13,5546490.255698807,1000000.0,153981.0897641831,0.0,20000.0,0.0,0.0,2178.4254963810245,0.00020833333333333335,1169.7552968163923,23395.105936327844,6666.666666666667,False,68335.16901987605,-0.0
42,2027-07-13,5478844.504319921,1000000.0,156377.82297948663,0.0,20000.0,0.0,0.0,2154.812542445336,0.00020833333333333335,1155.5188032705848,23110.376065411692,6666.666666666667,False,67645.75137888547,-0.0
43,2027-08-12,5411881.408567726,1000000.0,158707.41067259555,0.0,20000.0,0.0,0.0,2131.4383617378207,0.00020833333333333335,1141.4259383999836,22828.51876799967,6666.666666666667,False,66963.09575219546,-0.0
44,2027-09-11,5345594.271904655,1000000.0,160970.53859410228,0.0,20000.0,0.0,0.0,2108.3006098981527,0.00020833333333333335,1127.4752934516096,22549.50586903219,6666.666666666667,False,66287.13666307088,-0.0
45,2027-10-11,5279976.462639683,1000000.0,163167.88573200695,0.0,20000.0,0.0,0.0,2085.39696527732,0.00020833333333333335,1113.6654733134699,22273.309466269395,6666.666666666667,False,65617.80926497187,-0.0
46,2027-11-10,5215021.413304183,1000000.0,165300.12437736444,0.0,20000.0,0.0,0.0,2062.725128718985,0.00020833333333333335,1099.9950963832673,21999.901927665345,6666.666666666667,False,64955.049335500225,-0.0
47,2027-12-10,5150722.620033772,1000000.0,167367.92018929875,0.0,20000.0,0.0,0.0,2040.282823342948,0.00020833333333333335,1086.4627944383715,21729.255888767428,6666.666666666667,False,64298.79327041097,-0.0
48,2028-01-09,5087073.641956087,1000000.0,169371.932259391,0.0,20000.0,0.0,0.0,2018.0677943306805,0.00020833333333333335,1073.067212507036,21461.344250140715,6666.666666666667,False,63648.97807768453,-0.0
49,2028-02-08,5024068.100584444,1000000.0,171312.81317544685,0.0,20000.0,0.0,0.0,1996.0778087129265,0.00020833333333333335,1059.8070087408516,21196.14017481703,6666.666666666667,False,63005.54137164354,-0.0
50,2028-03-09,4961699.679217307,1000000.0,173191.20908464942,0.0,20000.0,0.0,0.0,1974.3106551593373,0.00020833333333333335,1046.6808542884257,20933.617085768514,6666.666666666667,False,62368.42136713676,-0.0
51,2028-04-08,4899962.122343528,1000000.0,175007.7597561036,0.0,20000.0,0.0,0.0,1952.7641437701257,0.00020833333333333335,1033.6874331702722,20673.748663405444,6666.666666666667,False,61737.55687377881,-0.0
52,2028-05-08,4838849.235053292,1000000.0,176763.09864277742,0.0,20000.0,0.0,0.0,1931.4361058697195,0.00020833333333333335,1020.8254421549018,20416.508843098032,6666.666666666667,False,61112.88729023654,-0.0
53,2028-06-07,4778354.882454716,1000000.0,178457.8529428467,0.0,20000.0,0.0,0.0,1910.3243938024011,0.00020833333333333335,1008.0935906361025,20161.87181272205,6666.666666666667,False,60494.352598575875,-0.0
54,2028-07-07,4718472.989096049,1000000.0,180092.64366044814,0.0,20000.0,0.0,0.0,1889.4268807299,0.00020833333333333335,995.4906005113992,19909.812010227983,6666.666666666667,False,59881.89335866645,-0.0
55,2028-08-06,4659197.538393418,1000000.0,181668.0856658471,0.0,20000.0,0.0,0.0,1868.741460430936,0.00020833333333333335,983.015206061677,19660.304121233537,6666.666666666667,False,59275.450702630915,-0.0
56,2028-09-05,4600522.572064062,1000000.0,183184.78775502503,0.0,20000.0,0.0,0.0,1848.2660471026823,0.00020833333333333335,970.6661538319622,19413.323076639244,6666.666666666667,False,58674.966329356655,-0.0
57,2028-10-05,4542442.18956501,1000000.0,184643.35270869298,0.0,20000.0,0.0,0.0,1827.9985751641361,0.00020833333333333335,958.4422025133463,19168.844050266922,6666.666666666667,False,58080.38249905128,-0.0
58,2028-11-04,4484950.547537152,1000000.0,186044.3773507359,0.0,20000.0,0.0,0.0,1807.9369990613757,0.00020833333333333335,946.3421228260439,18926.842456520877,6666.666666666667,False,57491.642027858645,-0.0
59,2028-12-04,4428041.859254633,1000000.0,187388.45260609363,0.0,20000.0,0.0,0.0,1788.0792930746877,0.00020833333333333335,934.3646974035734,18687.293948071467,6666.666666666667,False,56908.68828251865,-0.0
60,2029-01-03,4371710.394079546,1000000.0,188676.16355808388,0.0,20000.0,0.0,0.0,1768.4234511275474,0.00020833333333333335,922.5087206780486,18450.17441356097,6666.666666666667,False,56331.46517508663,-0.0
